freq,indic_ur,cities\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE1001V,ES016C	83593 	83334 	83226 	83459 	83741 	84282 	84873 	85811 	: 	: 
A,DE1001V,ES017C	150621 	150517 	149892 	149946 	150543 	150530 	150702 	150984 	: 	: 
A,DE1001V,ES018C	153066 	151962 	151344 	150876 	150979 	151113 	151136 	152485 	: 	: 
A,DE1001V,ES019C	: 	: 	: 	: 	790423 	791054 	792617 	797590 	: 	: 
A,DE1001V,ES020C	328704 	328041 	327362 	326609 	325916 	325708 	325701 	326039 	: 	: 
A,DE1001V,ES021C	335052 	332067 	328648 	330525 	329988 	331577 	334887 	337482 	: 	: 
A,DE1001V,ES022C	296479 	294997 	294098 	292817 	292986 	293642 	295364 	296692 	: 	: 
A,DE1001V,ES023C	275274 	275735 	274290 	273422 	272365 	271843 	271780 	271717 	: 	: 
A,DE1001V,ES024C	: 	: 	356654 	356696 	357347 	360405 	364815 	368105 	: 	: 
A,DE1001V,ES025C	245923 	244810 	243870 	243978 	244099 	244850 	245711 	247604 	: 	: 
A,DE1001V,ES026C	106790 	104962 	103194 	103615 	103123 	103477 	104373 	106168 	: 	: 
A,DE1001V,ES027C	102170 	102076 	102078 	102164 	102005 	102424 	102647 	102791 	: 	: 
A,DE1001V,ES028C	98761 	98560 	98134 	98268 	97995 	98025 	98276 	98519 	: 	: 
A,DE1001V,ES029C	96361 	96335 	96131 	95949 	95643 	95174 	94979 	95001 	: 	: 
A,DE1001V,ES030C	97292 	97227 	97586 	98255 	99013 	100266 	101852 	103369 	: 	: 
A,DE1001V,ES031C	95925 	95855 	95617 	95814 	95917 	96068 	96126 	96255 	: 	: 
A,DE1001V,ES032C	105205 	91415 	88447 	84213 	83252 	82599 	83337 	84667 	: 	: 
A,DE1001V,ES033C	89142 	88700 	88335 	88184 	88430 	88364 	88405 	88703 	: 	: 
A,DE1001V,ES034C	82568 	81659 	80880 	80114 	79514 	78715 	78182 	77791 	: 	: 
A,DE1001V,ES035C	88548 	86779 	85150 	84119 	83303 	83009 	83417 	83663 	: 	: 
A,DE1001V,ES036C	80649 	80178 	79595 	79137 	78892 	78629 	78412 	78144 	: 	: 
A,DE1001V,ES037C	71232 	70389 	69452 	68308 	67569 	66799 	66065 	65560 	: 	: 
A,DE1001V,ES038C	82934 	82946 	82539 	82549 	82671 	82802 	83029 	83260 	: 	: 
A,DE1001V,ES039C	84180 	84963 	84263 	84519 	84959 	85144 	84777 	84202 	: 	: 
A,DE1001V,ES040C	78543 	76497 	75514 	74814 	74121 	73829 	74562 	75798 	: 	: 
A,DE1001V,ES041C	84504 	83720 	83391 	83633 	84145 	84910 	85871 	87484 	: 	: 
A,DE1001V,ES042C	76170 	75297 	74655 	74752 	75152 	76250 	77714 	78245 	: 	: 
A,DE1001V,ES043C	74872 	74960 	74427 	74054 	74641 	74743 	74746 	75504 	: 	: 
A,DE1001V,ES044C	73768 	69010 	69045 	66642 	66831 	67558 	68721 	70450 	: 	: 
A,DE1001V,ES045C	83679 	84509 	85584 	86026 	86120 	86384 	86487 	87076 	: 	: 
A,DE1001V,ES046C	68121 	67367 	66884 	66447 	65788 	65239 	64674 	64509 	: 	: 
A,DE1001V,ES047C	64986 	64423 	63831 	63217 	62389 	61827 	61406 	60988 	: 	: 
A,DE1001V,ES048C	77397 	75856 	77525 	77486 	74929 	75396 	80309 	82837 	: 	: 
A,DE1001V,ES049C	67301 	67385 	67433 	67620 	67640 	68037 	68684 	69205 	: 	: 
A,DE1001V,ES050C	66275 	65941 	65684 	65972 	66077 	66274 	67086 	67733 	: 	: 
A,DE1001V,ES051C	62697 	63132 	63352 	63278 	63146 	62940 	63147 	63630 	: 	: 
